,date,price,spot_vol_1d,miner_balance,price_pct_change,miner_change,relative_miner_change_to_spot_vol
5,2016-01-06,429.9253492,13244165.31,1933715.139,-0.7482685668118161,-5290.998000000138,-17.175368243471137
13,2016-01-14,430.025026,16290934.52,1937851.232,-0.6085077878419942,-1417.3319999999367,-3.741272358576792
19,2016-01-20,419.2252502,64300523.25,1940291.933,11.269303592947466,-4562.005000000121,-2.974326787517552
27,2016-01-28,379.7505777,27304848.21,1946894.333,-3.725751395625132,-3145.3909999998286,-4.374549311374164
28,2016-01-29,378.6405195,45272785.32,1945006.355,-0.2923124453748649,-1887.9780000001192,-1.5790169870746007
30,2016-01-31,367.9508596,16200944.43,1946898.491,-2.4905407989335826,-949.7460000000428,-2.15703386065918
35,2016-02-05,383.9341259,19478071.24,1940150.772,-1.0721350422698617,-10635.96399999992,-20.964650406750632
36,2016-02-06,375.227387,26558542.68,1933654.481,-2.267768951142357,-6496.291000000201,-9.178162847607316
39,2016-02-09,372.7623708,24980760.22,1931731.394,0.41631408038880213,-4416.128999999957,-6.589738267775652
42,2016-02-12,382.392097,30408665.17,1935136.49,1.1222355050269472,-902.0709999999963,-1.1343635750022814
43,2016-02-13,390.6503666,33113197.99,1931951.73,2.1596339633556783,-3184.7600000000093,-3.757195731770574
45,2016-02-15,398.8081586,35546001.52,1931375.487,-1.910082707062155,-1571.875999999931,-1.7635653696655391
46,2016-02-16,407.2382416,31015684.17,1928964.102,2.1138190927671774,-2411.3850000000093,-3.16616645255393
48,2016-02-18,421.1656956,37736271.65,1923163.914,1.5106778141954047,-5484.836999999825,-6.121498201472544
54,2016-02-24,423.8512633,33420635.88,1925428.32,1.0107094311614606,-3153.2069999999367,-3.9989986282582253
57,2016-02-27,432.1432341,22576937.45,1927244.587,0.3416220520509272,-831.094000000041,-1.5907899368393879
66,2016-03-07,412.8005827,55100377.91,1922680.691,2.0198299810645137,-12126.002999999793,-9.08454949691626
74,2016-03-15,415.4742785,42295278.95,1927067.005,0.1011736166516064,-3371.685000000056,-3.3120679836639204
79,2016-03-20,411.6682983,26190388.42,1929721.306,0.5021580923938229,-1302.4799999999814,-2.047276720647339
83,2016-03-24,412.6839147,39026500.86,1929329.37,-1.1627462951757317,-3044.684999999823,-3.2195879649464847
95,2016-04-05,422.2472808,29079453.08,1939098.593,0.6879385973836083,-3598.2009999998845,-5.224756407357411
104,2016-04-14,425.7382993,22572954.64,1947996.345,0.18570978253322767,-999.8870000001043,-1.8858416971161
106,2016-04-16,433.2765036,19816404.24,1927367.612,0.665846684282867,-21183.777000000002,-46.31734758960538
108,2016-04-18,429.6255257,31498747.31,1928793.332,0.1647405052408235,-1667.1500000001397,-2.273900571732975
116,2016-04-26,469.6017138,47658129.03,1930361.062,1.0809508791550293,-3272.2070000001695,-3.224285229789761
132,2016-05-12,455.538562,42875716.71,1936927.891,0.2370210135759665,-5969.6089999999385,-6.3424877954937635
143,2016-05-23,445.0955493,37946677.09,1943152.9,0.9018410414821876,-3053.8030000000726,-3.581958231850598
152,2016-06-01,534.9292312,58143100.1,1941317.562,0.6366571014923217,-3794.0730000000913,-3.4906300997299704
164,2016-06-13,705.2537025,187960579.4,1926790.273,5.090969628191666,-21838.66599999997,-8.194165022966962
166,2016-06-15,697.4923347,73417281.11,1925795.578,1.806481251761749,-2521.7990000001155,-2.3958057906268952
171,2016-06-20,715.3350486,209886828.5,1922537.711,-6.790885903246979,-5867.41100000008,-1.9997275497643872
180,2016-06-29,637.0942855,88480546.89,1924724.82,-1.6698928954604342,-3237.5509999999776,-2.3311624007919782
191,2016-07-10,651.30478,56561157.15,1927687.669,-0.9148798519940993,-2286.372999999905,-2.6327708604223248
192,2016-07-11,651.1524242,66599237.53,1925815.197,-0.023392397028010325,-1872.472000000067,-1.8307487101446789
196,2016-07-15,666.4306437,64845435.56,1923963.169,0.9298200403116352,-2677.002000000095,-2.751213174280436
210,2016-07-29,657.2028417,51337987.48,1927088.716,0.35564235164669,-1409.280999999959,-1.804089960313713
221,2016-08-09,585.9862966,64281328.22,1930271.663,-0.947997114083865,-1190.716999999946,-1.0854533726195468
222,2016-08-10,593.3092281,72466600.96,1922070.047,1.2496762368828573,-8201.615999999922,-6.7149478431016
224,2016-08-12,587.6670928,46501559.23,1921658.975,0.14361340363664432,-1171.805999999866,-1.480879000077172
230,2016-08-18,573.6346052,28593526.05,1921104.09,-0.06351824190365951,-1358.2339999999385,-2.7248476560629764
234,2016-08-22,584.5310007,47980434.52,1919490.796,0.7353427193779627,-2560.162000000011,-3.11896728486343
235,2016-08-23,582.1403916,57908486.79,1918392.395,-0.4089790100331947,-1098.4010000000708,-1.1041966794827256
236,2016-08-24,578.8355713,33289142.68,1917151.903,-0.567701597018011,-1240.4920000000857,-2.1569822401720358
243,2016-08-31,571.196536,48730289.92,1916525.203,-0.7070682467512301,-2023.658000000054,-2.372049174233025
261,2016-09-18,610.9444637,31582151.8,1917058.991,0.6686471641717873,-3350.3690000001807,-6.481158740748677
262,2016-09-19,608.5191535,34186309.57,1915979.024,-0.39697719581773816,-1079.966999999946,-1.922350241702037
273,2016-09-30,608.9129588,29485188.44,1918335.577,0.5020778061980868,-636.3159999998752,-1.3140871020043066
276,2016-10-03,612.7803428,24756905.99,1916001.974,0.26106974475945677,-3497.2080000001006,-8.656252594522874
280,2016-10-07,617.7007338,38325543.22,1914889.114,1.0378148902878248,-1953.9379999998491,-3.149202424793736
283,2016-10-10,617.8852701,31481838.16,1914868.747,0.36294854033958046,-698.6189999999478,-1.3711600552613972
287,2016-10-14,638.0457908,32395348.73,1910135.723,0.4276477010329627,-3363.9590000000317,-6.6255186763467115
291,2016-10-18,635.2516742,34737212.53,1908866.941,-0.467648742703608,-2457.8549999999814,-4.494766246262274
301,2016-10-28,688.4962939,44380835.23,1909159.529,0.14811288877596418,-1618.9299999999348,-2.51150592211034
313,2016-11-09,721.2385792,94589918.5,1908250.757,1.4552919565461453,-2527.412000000011,-1.9271261344125574
325,2016-11-21,736.5494414,39881730.09,1909691.375,0.920271311541998,-725.8840000000782,-1.3405874156279742
338,2016-12-04,765.0191935,27952689.26,1908517.535,-0.21673801162201967,-2678.7420000000857,-7.331276877774881
344,2016-12-10,775.4348079,23789976.45,1908296.3,0.3863101682388681,-421.0079999999143,-1.3722765059916517
351,2016-12-17,788.9255361,27382659.19,1908709.236,1.024376144110839,-607.4309999998659,-1.750077755390759
353,2016-12-19,790.9863472,26577267.42,1908035.139,0.06983608541577535,-1118.5409999999683,-3.3289752697360266
356,2016-12-22,857.632033,115795648.7,1906369.359,2.9199573495849895,-1704.9270000001416,-1.2627417571751227
361,2016-12-27,927.8784236,93105020.84,1905057.946,2.9440856188759357,-1617.0049999998882,-1.6114963906528827
365,2016-12-31,967.742256,54728588.42,1903773.744,0.7107522124181864,-885.5760000001173,-1.5659262203561317
368,2017-01-03,1024.435627,118111033.7,1904476.575,0.9937824103941395,-1471.627000000095,-1.2764151504121721
394,2017-01-29,915.1648755,20442140.29,1904345.994,-1.0383637108350885,-1586.4420000000391,-7.102269991407082
404,2017-02-08,1053.705062,125737884.2,1896219.808,-0.013789813234466042,-9350.118000000017,-7.835559449390937
412,2017-02-16,1035.586443,63672446.65,1899420.934,2.1571281838771883,-796.0830000001006,-1.294771609507286
418,2017-02-22,1129.850403,100933633.8,1898673.121,0.2654696082256214,-2474.3540000000503,-2.769790166877672
430,2017-03-06,1283.684208,83968032.58,1899288.59,0.4832603701499183,-974.3289999999106,-1.4895320424528127
447,2017-03-23,1027.283029,156239073.2,1896975.361,-0.960577373219329,-5604.676999999909,-3.685115027376225
453,2017-03-29,1040.442818,211349799.9,1891957.328,-0.4813311583538926,-5237.182999999961,-2.5781852840550776
468,2017-04-13,1174.836851,234551991.3,1892479.664,-3.2623595228127633,-3951.9109999998473,-1.9794548103979717
469,2017-04-14,1172.669191,155532116.4,1891035.217,-0.18450732100844247,-1444.4470000001602,-1.0890731343076898
473,2017-04-18,1201.715848,155516109.0,1889468.617,1.023781949849245,-1409.8619999999646,-1.089439235451122
488,2017-05-03,1526.420706,431106007.1,1886538.05,4.151231574029035,-3050.9620000000577,-1.080256710257114
524,2017-06-08,2803.297017,667689506.1,1871408.044,3.771466484059083,-2673.9539999999106,-1.122660638412416
555,2017-07-09,2505.719367,225547590.1,1864771.94,-2.0932212175268194,-10396.405999999959,-11.549879938794746
577,2017-07-31,2861.355117,419407129.4,1862412.532,4.669757324025037,-1510.597000000067,-1.0305867861279712
585,2017-08-08,3418.065716,647507888.4,1862630.7,0.7053559793235298,-6701.638000000035,-3.5376617797576984
589,2017-08-12,3873.840278,766266261.3,1859036.902,6.075876908529931,-2511.530000000028,-1.2696978276062132
594,2017-08-17,4278.874565,831070478.3,1853153.698,-2.127771389660682,-5135.145000000019,-2.6438962641331267
599,2017-08-22,4089.192688,1268458667.0,1846508.975,2.3962939650969517,-4186.7009999998845,-1.3496874247020156
672,2017-11-03,7188.673662,1762062918.0,1838545.589,2.224344559850011,-3894.8919999999925,-1.5889959008112136
726,2017-12-27,15382.49606,5123611379.0,1823885.928,-2.403485132118377,-4226.1699999999255,-1.268812924421625
802,2018-03-13,9194.85,2797659568.0,1811877.858,-0.11156834457346498,-3513.3950000000186,-1.1547201948822021
896,2018-06-15,6460.85,1094754329.0,1812319.245,-3.3012443462617225,-2527.714999999851,-1.4917673331026435
909,2018-06-28,5903.44,1022754098.0,1811116.976,-4.0789798650738955,-2150.771999999881,-1.2414473313290304
965,2018-08-23,6534.876624,973247672.3,1818161.616,2.478377119159214,-5497.293999999994,-3.6911609529934677
1012,2018-10-09,6640.647459,675838632.9,1814897.889,-0.17405869234570215,-2602.094999999972,-2.556763509608836
1062,2018-11-28,4260.828255,1931067285.0,1803932.574,11.728030912293752,-5480.148000000045,-1.2091743059062767
1104,2019-01-09,4035.712941,786780163.3,1804679.764,0.053505831248723545,-3552.6410000000615,-1.8222929259288596
1180,2019-03-26,3985.080803,1131601357.0,1798712.359,0.5372851828664205,-4346.134000000078,-1.5305474020093377
1265,2019-06-19,9276.771824,1616054327.0,1792220.888,2.275767406415752,-5898.004999999888,-3.3856811425009776
1308,2019-08-01,10399.66942,1662419422.0,1793697.644,3.1137543223325848,-2087.5,-1.3058864464018516
1309,2019-08-02,10518.17468,1847611984.0,1791693.662,1.139509874920619,-2003.9820000000764,-1.1408365454494995
1418,2019-11-19,8203.937398,1066862290.0,1799654.213,-1.2978337986823352,-2281.0109999999404,-1.75404751143176
1455,2019-12-26,7240.027006,824329557.0,1802153.211,-0.5552593682227713,-1362.940000000177,-1.1970603654527119
1635,2020-06-23,9628.694038,1421190281.0,1818474.024,-0.21308883311110804,-5347.772000000114,-3.6231644039074618
1750,2020-10-16,11322.1221,1787095102.0,1827697.6,-1.505107431849706,-1993.2589999998454,-1.2628271293265596
1823,2020-12-28,27098.95275,6797725254.0,1821986.012,2.6936458393092666,-10775.1669999999,-4.295491954967389
1825,2020-12-30,28827.00797,8441835278.0,1813176.535,5.496872876772874,-9267.83200000017,-3.1647604831247205
1980,2021-06-03,39173.79329,9055703857.0,1814569.581,4.020164484591859,-2710.252000000095,-1.1724196516181724
2183,2021-12-23,50770.61419,7052458521.0,1825398.651,4.366570501493983,-2236.282999999821,-1.6098990313033092
2308,2022-04-27,39240.46981,5987483002.0,1832148.464,3.0765090073869628,-2482.1650000000373,-1.6267490147931132
2364,2022-06-22,19984.71687,5638396009.0,1835734.532,-3.5607788854347455,-5245.3610000000335,-1.8591644556114177
2526,2022-12-01,16962.9864,8034540007.0,1819348.296,-1.2534931677564143,-9745.662000000011,-2.0575606297431808
